"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BPIFB6",-1.11013252685074,6.13811316605753,-2.46818202035535,0.0209031929002802,0.625963187555782,-3.17739367363517
"SLC2A12",-1.96883653367481,8.4109121451774,-2.46801163190815,0.0209111209397108,0.625963187555782,-3.17767875544922
"NLRC3",0.679681034266289,8.14164048463978,2.46658025425573,0.0209778317017758,0.625963187555782,-3.18007322375749
"ESRRG",-2.57565475185836,10.4523912646271,-2.46539783079552,0.0210330880967331,0.625963187555782,-3.18205067688897
"CASP8",0.674426983076061,7.95347134268838,2.46513379953024,0.0210454450360234,0.625963187555782,-3.1824921671265
"IGFLR1",0.64002647736597,8.56995951014134,2.46464286591304,0.0210684390896302,0.625963187555782,-3.1833129972984
"LINC01986",1.20594237961709,5.91815800239204,2.46434622877052,0.0210823440583507,0.625963187555782,-3.18380892609553
"ZNF385B",-2.23391388651945,6.7427304037412,-2.46424859453247,0.0210869225528063,0.625963187555782,-3.18397214766167
"CXCR5",0.70567416175211,5.23326538171148,2.46266160552449,0.0211614724147301,0.625963187555782,-3.18662474087646
"DMBX1",0.81646479160954,2.90546416621052,2.46145214367406,0.0212184512192965,0.625963187555782,-3.188645703114
"LEAP2",-0.788190122687322,8.2539624587013,-2.46070669475946,0.0212536405803886,0.625963187555782,-3.18989105598673
"NRK",-0.692423531683593,5.13005220576939,-2.45594681980669,0.0214796081933565,0.625963187555782,-3.19783821481672
"COL2A1",-2.31099610935566,7.4689946202646,-2.45435015299854,0.0215559033372207,0.625963187555782,-3.20050219990426
"SOWAHA",-0.729927875071731,9.68167363979114,-2.45321425982508,0.0216103332079342,0.625963187555782,-3.20239683768704
"FBLN2",-1.21485462342133,5.87015820178741,-2.4516447312398,0.0216857510194061,0.625963187555782,-3.20501399750759
"CHST9",-1.43214067220973,5.19894048320604,-2.45016420810261,0.0217571147706774,0.625963187555782,-3.20748192306607
"FBXO36",-0.855469760341161,5.84007883811841,-2.44788062346244,0.0218676128556317,0.625963187555782,-3.21128693260702
"OR8D2",-1.19095374396176,5.67995599519655,-2.4475042375994,0.0218858750841541,0.625963187555782,-3.21191390124608
"ATP13A5",-0.936584198860537,6.66179525813541,-2.44651711433188,0.021933837191809,0.625963187555782,-3.2135579669799
"DNER",-2.20666479791006,8.71800208256008,-2.44626014608446,0.0219463386140539,0.625963187555782,-3.21398589247415
"IL10RA",0.614792963935001,9.51998727474989,2.44591610925308,0.0219630861953243,0.625963187555782,-3.21455877434238
"ITGBL1",-0.913479620917166,5.63344945026557,-2.44158195009561,0.0221750844875378,0.627842720363517,-3.22177221278767
"PCAT19",0.819139344253485,6.68656584410363,2.4408239607877,0.0222123537741144,0.627842720363517,-3.22303304622364
"GHR",-1.17361342589113,8.40313357748529,-2.43858676688339,0.0223226908768291,0.628368458668439,-3.22675315033637
"APOBEC2",-0.803942896996947,9.10130998600236,-2.43765786008573,0.0223686524413637,0.628800874169059,-3.22829723838892
"LOC284240",-0.886198463917871,4.84945070662951,-2.43582826415085,0.0224594348441481,0.630490336902184,-3.23133758332789
"C7orf33",-0.882004504533049,5.43422642190724,-2.43200590863578,0.0226501934621482,0.631837179438621,-3.23768544121187
"QPCT",1.04485416425769,7.26634030601338,2.43134031604447,0.0226835629198849,0.631837179438621,-3.23879025349712
"ZC3H12D",0.964563436737492,7.64021752293842,2.43017492521246,0.0227420989514521,0.631837179438621,-3.24072428386491
"RNF151",-1.26189537102737,7.21531539041801,-2.42839241169876,0.0228319017505028,0.631837179438621,-3.24368149375827
"OTOS",-1.32228714866736,6.22750879623741,-2.42799004962896,0.0228522178794825,0.631837179438621,-3.24434885458568
"FCGR2A",0.608532001124563,6.40109967268783,2.42768537617012,0.0228676125869897,0.631837179438621,-3.24485414852222
"HLA-B",0.640709721426383,14.7003263744784,2.42434831743823,0.023036856316275,0.631837179438621,-3.25038633568095
"CA9",-0.86121999425667,12.0003205787009,-2.42328317147534,0.0230911193232137,0.631837179438621,-3.25215126976381
"HOXB1",-0.75230746819304,6.55870552288807,-2.42011209403654,0.023253365470819,0.631837179438621,-3.25740321415837
"MICU3",-1.25968135583973,6.6837946472016,-2.41887191842317,0.023317103508838,0.631837179438621,-3.25945617868852
"PLXNB2",-0.608969533947455,9.07079291321059,-2.41876176998919,0.0233227722936424,0.631837179438621,-3.2596384887641
"NCF2",1.3070568201496,7.06327417735898,2.41707082772999,0.0234099560799383,0.631837179438621,-3.26243665247404
"CRELD2",0.734149910512453,11.8374875844876,2.41666982471759,0.0234306755048957,0.631837179438621,-3.26310007419054
