"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HEATR1",14.3630449843895,19.2287918515173,6.46789256930782,3.03155296137448e-10,4.42216734522712e-09,12.8787845264625
"KCNMB1",-36.3528424953865,15.0824220563616,-6.46750141436186,3.03863387244737e-10,4.42918358851578e-09,12.8765324835993
"MKI67",47.4725547401564,52.5243254803562,6.46731090792032,3.04208839781158e-10,4.43090739525909e-09,12.8754356976914
"SYNPO2L",-4.7341891248641,0.662491797970667,-6.46487789945462,3.08654705941105e-10,4.49186565052036e-09,12.8614306268999
"CAMKMT",2.63586088817774,5.41139525036327,6.46476929976125,3.08854629408184e-10,4.49186565052036e-09,12.8608055953168
"SPINK5",-393.125568692604,57.5258815430313,-6.46426429323643,3.09785975438471e-10,4.50205356108532e-09,12.8578992055558
"DUS1L",21.6891735237005,43.0065712217307,6.46254968331617,3.12968690816826e-10,4.54492060833996e-09,12.8480327194794
"RNF2",9.10452001137325,15.3626759024177,6.46216921006763,3.13679271310292e-10,4.55185031872368e-09,12.8458436227707
"FAM25A",-126.805418853113,13.5438857977109,-6.46103117940863,3.15814136079893e-10,4.57942237618302e-09,12.8392964480639
"DNAJC7",8.1986997956542,16.5594273906149,6.45966353671026,3.18398585336518e-10,4.6134677636093e-09,12.8314295197775
"PPIL1",36.7297468149421,57.0104430067513,6.45927517132775,3.19136255369688e-10,4.6205827014096e-09,12.8291958149305
"PARN",13.5668660440707,27.6160066550209,6.45915573296275,3.19363455955501e-10,4.6205827014096e-09,12.8285088802307
"CDC45",11.9929778985602,13.6734365279482,6.45804315546047,3.21487478378221e-10,4.64670941291729e-09,12.8221105196707
"CIAO2A",20.3066519220499,44.4609429051771,6.45796052312183,3.21645783081492e-10,4.64670941291729e-09,12.8216353417002
"SCAF11",11.623745146871,24.2906904074635,6.45747215595615,3.2258294458174e-10,4.65679879213743e-09,12.8188270815642
"ATR",6.0802847123808,8.35293406853842,6.45721468448243,3.23078101366031e-10,4.66049719744208e-09,12.817346610544
"ITGB3BP",3.34115887341246,6.74311118960801,6.45612014137882,3.25191402739131e-10,4.6857632652085e-09,12.8110534726876
"MGAM",-11.872670518178,2.97629159039753,-6.45605885606773,3.2531012977964e-10,4.6857632652085e-09,12.8107011345645
"GINS4",3.66082598700346,4.21596482629171,6.45542147549635,3.26547438445979e-10,4.70011416384644e-09,12.8070369002276
"CXorf38",7.81002012700891,12.0659661866213,6.45444217315033,3.2845749306599e-10,4.7222560966443e-09,12.8014075579734
"PSMB1",63.7388460921763,146.711238125414,6.45438464273197,3.28570041693397e-10,4.7222560966443e-09,12.8010768760532
"RABEPK",6.66297057541108,15.2418144859039,6.45255839196347,3.32162507932048e-10,4.77037215920378e-09,12.7905809066254
"ANKLE2",6.80586121102983,11.8853613807434,6.45218325949678,3.32905193189161e-10,4.77752022278749e-09,12.7884252109393
"HSPA9",71.3322486142861,127.175681096607,6.45134272240852,3.34575198359803e-10,4.79795595118473e-09,12.7835954359088
"THUMPD3",7.82397580387975,15.9395924503268,6.45078698730179,3.35683856572734e-10,4.81031760083617e-09,12.7804024264926
"RTCA",11.3090873476793,28.599376794119,6.44927486371883,3.38718712846868e-10,4.85024306655835e-09,12.7717155454083
"LEXM",-3.8641799838374,0.96324086450457,-6.44874238573335,3.39793794124503e-10,4.86206776728553e-09,12.7686569425802
