"","dynamicColors","mergedColors"
"GIPC3","greenyellow","greenyellow"
"TBXA2R","greenyellow","greenyellow"
"CACTIN","black","lightyellow"
"PIP5K1C","brown","greenyellow"
"TJP3","grey","grey"
"APBA3","black","lightyellow"
"MRPL54","midnightblue","midnightblue"
"MATK","red","purple"
"DAPK3","brown","greenyellow"
"EEF2","turquoise","lightcyan"
"PIAS4","black","lightyellow"
"ZBTB7A","black","lightyellow"
"MAP2K2","black","lightyellow"
"CREB3L3","grey","grey"
"SIRT6","black","lightyellow"
"ANKRD24","grey","grey"
"EBI3","red","purple"
"YJU2","black","lightyellow"
"SHD","grey","grey"
"TMIGD2","red","purple"
"STAP2","grey","grey"
"MPND","black","lightyellow"
"SH3GL1","black","lightyellow"
"CHAF1A","black","lightyellow"
"UBXN6","black","lightyellow"
"HDGFL2","black","lightyellow"
"PLIN4","brown","greenyellow"
"PLIN5","grey","grey"
"LRG1","grey","grey"
"SEMA6B","greenyellow","greenyellow"
"TNFAIP8L1","brown","greenyellow"
"MYDGF","black","lightyellow"
"DPP9","black","lightyellow"
"FEM1A","turquoise","lightcyan"
"TICAM1","black","lightyellow"
"PLIN3","black","lightyellow"
"ARRDC5","red","purple"
"UHRF1","black","lightyellow"
"KDM4B","turquoise","lightcyan"
"PTPRS","brown","greenyellow"
"SAFB2","black","lightyellow"
"SAFB","black","lightyellow"
"RPL36","midnightblue","midnightblue"
"MICOS13","midnightblue","midnightblue"
"HSD11B1L","grey","grey"
"LONP1","black","lightyellow"
"PRR22","black","lightyellow"
"AC011499.1","grey","grey"
"DUS3L","black","lightyellow"
"NRTN","brown","greenyellow"
"FUT6","grey","grey"
"FUT3","grey","grey"
"NDUFA11","midnightblue","midnightblue"
"VMAC","brown","greenyellow"
"CAPS","grey","grey"
"RANBP3","turquoise","lightcyan"
"RFX2","brown","greenyellow"
"MLLT1","turquoise","lightcyan"
"CLPP","black","lightyellow"
"ALKBH7","midnightblue","midnightblue"
"PSPN","black","lightyellow"
"GTF2F1","black","lightyellow"
"KHSRP","black","lightyellow"
"SLC25A41","grey","grey"
"SLC25A23","cyan","greenyellow"
"CRB3","brown","greenyellow"
"DENND1C","red","purple"
"TUBB4A","brown","greenyellow"
