"","dynamicColors","mergedColors"
"SAMD11","brown","greenyellow"
"NOC2L","magenta","lightyellow"
"KLHL17","magenta","lightyellow"
"PLEKHN1","grey","grey"
"PERM1","grey","grey"
"HES4","grey","grey"
"ISG15","royalblue","royalblue"
"AGRN","turquoise","lightcyan"
"RNF223","grey","grey"
"C1orf159","magenta","lightyellow"
"TNFRSF18","red","purple"
"TNFRSF4","red","purple"
"SDF4","magenta","lightyellow"
"B3GALT6","magenta","lightyellow"
"C1QTNF12","grey","grey"
"UBE2J2","magenta","lightyellow"
"SCNN1D","grey","grey"
"ACAP3","turquoise","lightcyan"
"PUSL1","magenta","lightyellow"
"INTS11","magenta","lightyellow"
"CPTP","magenta","lightyellow"
"TAS1R3","grey","grey"
"DVL1","magenta","lightyellow"
"MXRA8","pink","greenyellow"
"AURKAIP1","magenta","lightyellow"
"CCNL2","tan","tan"
"MRPL20","magenta","lightyellow"
"ANKRD65","brown","greenyellow"
"TMEM88B","grey","grey"
"VWA1","greenyellow","greenyellow"
"ATAD3C","grey","grey"
"ATAD3B","magenta","lightyellow"
"ATAD3A","magenta","lightyellow"
"TMEM240","brown","greenyellow"
"SSU72","magenta","lightyellow"
"FNDC10","grey","grey"
"MIB2","magenta","lightyellow"
"MMP23B","pink","greenyellow"
"CDK11B","turquoise","lightcyan"
"SLC35E2B","turquoise","lightcyan"
"CDK11A","tan","tan"
"SLC35E2A","turquoise","lightcyan"
"NADK","turquoise","lightcyan"
"GNB1","turquoise","lightcyan"
"TMEM52","grey","grey"
"GABRD","greenyellow","greenyellow"
"PRKCZ","magenta","lightyellow"
"FAAP20","magenta","lightyellow"
"SKI","cyan","greenyellow"
"MORN1","turquoise","lightcyan"
"RER1","magenta","lightyellow"
"PEX10","magenta","lightyellow"
"PLCH2","grey","grey"
"PANK4","turquoise","lightcyan"
"HES5","grey","grey"
"TNFRSF14","magenta","lightyellow"
"PRXL2B","magenta","lightyellow"
"MMEL1","grey","grey"
"PRDM16","grey","grey"
"ARHGEF16","brown","greenyellow"
"MEGF6","pink","greenyellow"
"TPRG1L","turquoise","lightcyan"
"WRAP73","black","lightyellow"
"TP73","grey","grey"
"SMIM1","grey","grey"
"LRRC47","turquoise","lightcyan"
"CEP104","turquoise","lightcyan"
"DFFB","green","lightcyan"
"C1orf174","green","lightcyan"
"NPHP4","turquoise","lightcyan"
"KCNAB2","red","purple"
"RPL22","midnightblue","midnightblue"
"RNF207","tan","tan"
"ICMT","turquoise","lightcyan"
"GPR153","brown","greenyellow"
"ACOT7","yellow","lightyellow"
"HES2","grey","grey"
"ESPN","grey","grey"
"TNFRSF25","tan","tan"
"PLEKHG5","turquoise","lightcyan"
"NOL9","turquoise","lightcyan"
"ZBTB48","turquoise","lightcyan"
"KLHL21","cyan","greenyellow"
"PHF13","turquoise","lightcyan"
"THAP3","black","lightyellow"
"DNAJC11","turquoise","lightcyan"
"CAMTA1","grey","grey"
"VAMP3","turquoise","lightcyan"
"PER3","blue","lightcyan"
"UTS2","grey","grey"
"TNFRSF9","red","purple"
"PARK7","yellow","lightyellow"
"ERRFI1","blue","lightcyan"
"SLC45A1","brown","greenyellow"
"RERE","turquoise","lightcyan"
"ENO1","magenta","lightyellow"
"SLC2A5","purple","purple"
"GPR157","turquoise","lightcyan"
"H6PD","cyan","greenyellow"
"SPSB1","pink","greenyellow"
"SLC25A33","magenta","lightyellow"
"TMEM201","magenta","lightyellow"
"PIK3CD","red","purple"
"CLSTN1","turquoise","lightcyan"
"CTNNBIP1","turquoise","lightcyan"
"LZIC","blue","lightcyan"
"NMNAT1","blue","lightcyan"
"RBP7","brown","greenyellow"
"UBE4B","turquoise","lightcyan"
"KIF1B","blue","lightcyan"
"PGD","magenta","lightyellow"
"CENPS","yellow","lightyellow"
"DFFA","turquoise","lightcyan"
"PEX14","magenta","lightyellow"
"CASZ1","turquoise","lightcyan"
"TARDBP","yellow","lightyellow"
"MASP2","blue","lightcyan"
"SRM","magenta","lightyellow"
"EXOSC10","green","lightcyan"
"MTOR","turquoise","lightcyan"
"ANGPTL7","brown","greenyellow"
"UBIAD1","turquoise","lightcyan"
"FBXO2","grey","grey"
"FBXO44","grey","grey"
"FBXO6","grey","grey"
"MAD2L2","magenta","lightyellow"
"AGTRAP","magenta","lightyellow"
"MTHFR","turquoise","lightcyan"
"CLCN6","blue","lightcyan"
"KIAA2013","magenta","lightyellow"
"PLOD1","turquoise","lightcyan"
"MFN2","turquoise","lightcyan"
"MIIP","magenta","lightyellow"
"TNFRSF8","red","purple"
"TNFRSF1B","purple","purple"
"VPS13D","blue","lightcyan"
"DHRS3","grey","grey"
"PDPN","pink","greenyellow"
"PRDM2","cyan","greenyellow"
"KAZN","turquoise","lightcyan"
"TMEM51","grey","grey"
"FHAD1","grey","grey"
"EFHD2","grey","grey"
"CASP9","turquoise","lightcyan"
"DNAJC16","green","lightcyan"
"AGMAT","yellow","lightyellow"
"DDI2","green","lightcyan"
"PLEKHM2","turquoise","lightcyan"
"SLC25A34","grey","grey"
"TMEM82","grey","grey"
"FBLIM1","turquoise","lightcyan"
"UQCRHL","grey","grey"
"SPEN","turquoise","lightcyan"
"ZBTB17","turquoise","lightcyan"
"HSPB7","brown","greenyellow"
"FAM131C","grey","grey"
"EPHA2","green","lightcyan"
"ARHGEF19","salmon","lightyellow"
"CPLANE2","turquoise","lightcyan"
"FBXO42","turquoise","lightcyan"
"SZRD1","turquoise","lightcyan"
"NECAP2","purple","purple"
"NBPF1","turquoise","lightcyan"
"CROCC","turquoise","lightcyan"
"MFAP2","pink","greenyellow"
"ATP13A2","magenta","lightyellow"
"SDHB","magenta","lightyellow"
"PADI2","grey","grey"
"RCC2","black","lightyellow"
"ARHGEF10L","turquoise","lightcyan"
"ACTL8","grey","grey"
"IGSF21","pink","greenyellow"
"KLHDC7A","grey","grey"
"ALDH4A1","grey","grey"
"IFFO2","turquoise","lightcyan"
"UBR4","turquoise","lightcyan"
"EMC1","turquoise","lightcyan"
"MRTO4","magenta","lightyellow"
"AKR7A3","grey","grey"
"AKR7A2","grey","grey"
"SLC66A1","magenta","lightyellow"
"MICOS10","grey","grey"
"NBL1","grey","grey"
"TMCO4","magenta","lightyellow"
"RNF186","grey","grey"
"OTUD3","tan","tan"
"PLA2G2A","grey","grey"
"PLA2G5","brown","greenyellow"
"PLA2G2D","red","purple"
"UBXN10","grey","grey"
"CAMK2N1","grey","grey"
"MUL1","turquoise","lightcyan"
"FAM43B","brown","greenyellow"
"CDA","grey","grey"
"PINK1","brown","greenyellow"
"DDOST","black","lightyellow"
"KIF17","brown","greenyellow"
"HP1BP3","blue","lightcyan"
"EIF4G3","blue","lightcyan"
"ECE1","turquoise","lightcyan"
"NBPF3","turquoise","lightcyan"
"ALPL","greenyellow","greenyellow"
"RAP1GAP","grey","grey"
"USP48","blue","lightcyan"
"LDLRAD2","brown","greenyellow"
"HSPG2","greenyellow","greenyellow"
"CELA3B","grey","grey"
"CELA3A","grey","grey"
"CDC42","green","lightcyan"
"WNT4","grey","grey"
"ZBTB40","turquoise","lightcyan"
"C1QA","purple","purple"
"C1QC","purple","purple"
"C1QB","purple","purple"
"EPHB2","grey","grey"
"KDM1A","yellow","lightyellow"
"LUZP1","cyan","greenyellow"
"HTR1D","grey","grey"
"HNRNPR","yellow","lightyellow"
"ZNF436","cyan","greenyellow"
"TCEA3","grey","grey"
"ASAP3","brown","greenyellow"
"E2F2","yellow","lightyellow"
"ID3","pink","greenyellow"
"RPL11","midnightblue","midnightblue"
"ELOA","turquoise","lightcyan"
"PITHD1","magenta","lightyellow"
"LYPLA2","magenta","lightyellow"
"GALE","brown","greenyellow"
"HMGCL","magenta","lightyellow"
"FUCA1","grey","grey"
"CNR2","red","purple"
"PNRC2","tan","tan"
"SRSF10","tan","tan"
"MYOM3","grey","grey"
"IL22RA1","grey","grey"
"IFNLR1","grey","grey"
"GRHL3","darkred","darkred"
"STPG1","turquoise","lightcyan"
"NIPAL3","cyan","greenyellow"
"RCAN3","blue","lightcyan"
"NCMAP","grey","grey"
"SRRM1","tan","tan"
"CLIC4","brown","greenyellow"
"RUNX3","red","purple"
"SYF2","grey","grey"
"RSRP1","tan","tan"
"RHD","red","purple"
"TMEM50A","green","lightcyan"
"MACO1","blue","lightcyan"
"LDLRAP1","turquoise","lightcyan"
"MAN1C1","brown","greenyellow"
"SELENON","turquoise","lightcyan"
"MTFR1L","brown","greenyellow"
"AUNIP","yellow","lightyellow"
"PAQR7","pink","greenyellow"
"STMN1","yellow","lightyellow"
"PAFAH2","green","lightcyan"
"PDIK1L","green","lightcyan"
"FAM110D","greenyellow","greenyellow"
"ZNF593","brown","greenyellow"
"CNKSR1","brown","greenyellow"
"CEP85","yellow","lightyellow"
"SH3BGRL3","grey","grey"
"UBXN11","black","lightyellow"
"CD52","red","purple"
"CRYBG2","grey","grey"
"ZNF683","red","purple"
"DHDDS","turquoise","lightcyan"
"HMGN2","yellow","lightyellow"
"RPS6KA1","black","lightyellow"
"ARID1A","turquoise","lightcyan"
"PIGV","turquoise","lightcyan"
"ZDHHC18","turquoise","lightcyan"
"SFN","brown","greenyellow"
"GPN2","turquoise","lightcyan"
"GPATCH3","black","lightyellow"
"NUDC","black","lightyellow"
"NR0B2","grey","grey"
"KDF1","brown","greenyellow"
"TRNP1","grey","grey"
"TENT5B","brown","greenyellow"
"SLC9A1","turquoise","lightcyan"
"WDTC1","turquoise","lightcyan"
"TMEM222","magenta","lightyellow"
"SYTL1","grey","grey"
"MAP3K6","turquoise","lightcyan"
"FCN3","greenyellow","greenyellow"
"CD164L2","grey","grey"
"GPR3","yellow","lightyellow"
"WASF2","cyan","greenyellow"
"AHDC1","turquoise","lightcyan"
"FGR","purple","purple"
"IFI6","royalblue","royalblue"
"FAM76A","blue","lightcyan"
"STX12","blue","lightcyan"
"PPP1R8","yellow","lightyellow"
"THEMIS2","purple","purple"
"RPA2","yellow","lightyellow"
"SMPDL3B","grey","grey"
"XKR8","turquoise","lightcyan"
"EYA3","green","lightcyan"
"PTAFR","purple","purple"
"DNAJC8","magenta","lightyellow"
"ATP5IF1","brown","greenyellow"
"SESN2","turquoise","lightcyan"
"MED18","black","lightyellow"
"PHACTR4","turquoise","lightcyan"
"RCC1","yellow","lightyellow"
"TAF12","magenta","lightyellow"
"RAB42","purple","purple"
"GMEB1","turquoise","lightcyan"
"YTHDF2","yellow","lightyellow"
"EPB41","turquoise","lightcyan"
"TMEM200B","pink","greenyellow"
"SRSF4","turquoise","lightcyan"
"MECR","magenta","lightyellow"
"PTPRU","turquoise","lightcyan"
"LAPTM5","purple","purple"
"SDC3","brown","greenyellow"
"PUM1","blue","lightcyan"
"SNRNP40","yellow","lightyellow"
"ZCCHC17","magenta","lightyellow"
"FABP3","brown","greenyellow"
"SERINC2","grey","grey"
"TINAGL1","grey","grey"
"PEF1","turquoise","lightcyan"
"COL16A1","pink","greenyellow"
"ADGRB2","brown","greenyellow"
"SPOCD1","pink","greenyellow"
"PTP4A2","green","lightcyan"
"KHDRBS1","yellow","lightyellow"
"TMEM39B","black","lightyellow"
"KPNA6","blue","lightcyan"
"TXLNA","turquoise","lightcyan"
"CCDC28B","grey","grey"
"IQCC","turquoise","lightcyan"
"DCDC2B","tan","tan"
"TMEM234","turquoise","lightcyan"
"EIF3I","yellow","lightyellow"
"FAM167B","greenyellow","greenyellow"
"LCK","red","purple"
"HDAC1","yellow","lightyellow"
"MARCKSL1","yellow","lightyellow"
"TSSK3","tan","tan"
"FAM229A","tan","tan"
"BSDC1","turquoise","lightcyan"
"ZBTB8A","blue","lightcyan"
"RBBP4","yellow","lightyellow"
"SYNC","brown","greenyellow"
"KIAA1522","turquoise","lightcyan"
"S100PBP","blue","lightcyan"
"FNDC5","brown","greenyellow"
"HPCA","grey","grey"
"TMEM54","brown","greenyellow"
"RNF19B","turquoise","lightcyan"
"AK2","yellow","lightyellow"
"AZIN2","pink","greenyellow"
"TRIM62","turquoise","lightcyan"
"ZNF362","brown","greenyellow"
"PHC2","turquoise","lightcyan"
"ZSCAN20","turquoise","lightcyan"
"CSMD2","pink","greenyellow"
"GJB5","grey","grey"
"GJB4","grey","grey"
"GJB3","grey","grey"
"GJA4","greenyellow","greenyellow"
"DLGAP3","grey","grey"
"TMEM35B","purple","purple"
"ZMYM6","tan","tan"
"ZMYM1","tan","tan"
"SFPQ","black","lightyellow"
"ZMYM4","blue","lightcyan"
"KIAA0319L","turquoise","lightcyan"
"NCDN","turquoise","lightcyan"
"TFAP2E","grey","grey"
"PSMB2","yellow","lightyellow"
"C1orf216","pink","greenyellow"
"CLSPN","yellow","lightyellow"
"AGO4","blue","lightcyan"
"AGO1","turquoise","lightcyan"
"AGO3","blue","lightcyan"
"ADPRHL2","black","lightyellow"
"COL8A2","pink","greenyellow"
"MAP7D1","brown","greenyellow"
"THRAP3","blue","lightcyan"
"SH3D21","grey","grey"
"EVA1B","pink","greenyellow"
"STK40","turquoise","lightcyan"
"LSM10","purple","purple"
"OSCP1","grey","grey"
"MRPS15","yellow","lightyellow"
"CSF3R","purple","purple"
"ZC3H12A","brown","greenyellow"
"MEAF6","blue","lightcyan"
"SNIP1","blue","lightcyan"
"DNALI1","grey","grey"
"GNL2","yellow","lightyellow"
"RSPO1","brown","greenyellow"
"C1orf109","yellow","lightyellow"
"CDCA8","yellow","lightyellow"
"EPHA10","grey","grey"
"MANEAL","black","lightyellow"
"YRDC","yellow","lightyellow"
"C1orf122","grey","grey"
"MTF1","blue","lightcyan"
"INPP5B","blue","lightcyan"
"SF3A3","yellow","lightyellow"
"FHL3","pink","greenyellow"
"UTP11","yellow","lightyellow"
"POU3F1","red","purple"
"RRAGC","blue","lightcyan"
"MYCBP","yellow","lightyellow"
"RHBDL2","grey","grey"
"AKIRIN1","turquoise","lightcyan"
"NDUFS5","midnightblue","midnightblue"
"MACF1","cyan","greenyellow"
"BMP8A","pink","greenyellow"
"PABPC4","grey","grey"
"HEYL","pink","greenyellow"
"PPIE","turquoise","lightcyan"
"BMP8B","green","lightcyan"
"TRIT1","yellow","lightyellow"
"MYCL","grey","grey"
"MFSD2A","grey","grey"
"CAP1","blue","lightcyan"
"PPT1","green","lightcyan"
"RLF","blue","lightcyan"
"ZMPSTE24","green","lightcyan"
"COL9A2","grey","grey"
"SMAP2","red","purple"
"ZFP69B","green","lightcyan"
"ZFP69","blue","lightcyan"
"EXO5","turquoise","lightcyan"
"RIMS3","brown","greenyellow"
"NFYC","turquoise","lightcyan"
"KCNQ4","brown","greenyellow"
"CITED4","grey","grey"
"CTPS1","yellow","lightyellow"
"SCMH1","brown","greenyellow"
"FOXO6","grey","grey"
"EDN2","grey","grey"
"HIVEP3","red","purple"
"GUCA2B","grey","grey"
"GUCA2A","grey","grey"
"FOXJ3","blue","lightcyan"
"RIMKLA","grey","grey"
"ZMYND12","grey","grey"
"PPCS","grey","grey"
"PPIH","yellow","lightyellow"
"YBX1","black","lightyellow"
"P3H1","pink","greenyellow"
"SVBP","grey","grey"
"ERMAP","blue","lightcyan"
"ZNF691","turquoise","lightcyan"
"SLC2A1","green","lightcyan"
"FAM183A","grey","grey"
"EBNA1BP2","yellow","lightyellow"
"TMEM125","brown","greenyellow"
"C1orf210","grey","grey"
"TIE1","greenyellow","greenyellow"
"MPL","brown","greenyellow"
"CDC20","yellow","lightyellow"
"ELOVL1","grey","grey"
"MED8","green","lightcyan"
"SZT2","turquoise","lightcyan"
"HYI","turquoise","lightcyan"
"PTPRF","turquoise","lightcyan"
"KDM4A","turquoise","lightcyan"
"ST3GAL3","brown","greenyellow"
"ARTN","grey","grey"
"IPO13","turquoise","lightcyan"
"DPH2","yellow","lightyellow"
"ATP6V0B","brown","greenyellow"
"B4GALT2","black","lightyellow"
"CCDC24","grey","grey"
"SLC6A9","grey","grey"
"DMAP1","turquoise","lightcyan"
"ERI3","black","lightyellow"
"RNF220","black","lightyellow"
"TMEM53","grey","grey"
"ARMH1","red","purple"
"KIF2C","yellow","lightyellow"
"RPS8","midnightblue","midnightblue"
"BEST4","grey","grey"
"PLK3","turquoise","lightcyan"
"TCTEX1D4","grey","grey"
"BTBD19","pink","greenyellow"
"PTCH2","brown","greenyellow"
"EIF2B3","yellow","lightyellow"
"HECTD3","turquoise","lightcyan"
"UROD","pink","greenyellow"
"ZSWIM5","turquoise","lightcyan"
"HPDL","yellow","lightyellow"
"MUTYH","yellow","lightyellow"
"TOE1","green","lightcyan"
"TESK2","turquoise","lightcyan"
"CCDC163","yellow","lightyellow"
"MMACHC","yellow","lightyellow"
"PRDX1","yellow","lightyellow"
"AKR1A1","yellow","lightyellow"
"NASP","yellow","lightyellow"
"CCDC17","tan","tan"
"GPBP1L1","blue","lightcyan"
"TMEM69","yellow","lightyellow"
"IPP","blue","lightcyan"
"MAST2","turquoise","lightcyan"
"PIK3R3","blue","lightcyan"
"TSPAN1","grey","grey"
"POMGNT1","black","lightyellow"
"LURAP1","brown","greenyellow"
"RAD54L","yellow","lightyellow"
"LRRC41","turquoise","lightcyan"
"UQCRH","brown","greenyellow"
"NSUN4","green","lightcyan"
"FAAH","grey","grey"
"DMBX1","yellow","lightyellow"
"MKNK1","blue","lightcyan"
"MOB3C","turquoise","lightcyan"
"ATPAF1","green","lightcyan"
"EFCAB14","blue","lightcyan"
"CYP4B1","grey","grey"
"CYP4X1","grey","grey"
"PDZK1IP1","grey","grey"
"TAL1","greenyellow","greenyellow"
"STIL","yellow","lightyellow"
"CMPK1","green","lightcyan"
"FOXD2","black","lightyellow"
"TRABD2B","brown","greenyellow"
"SLC5A9","grey","grey"
"SPATA6","blue","lightcyan"
"BEND5","brown","greenyellow"
"FAF1","turquoise","lightcyan"
"CDKN2C","grey","grey"
"RNF11","cyan","greenyellow"
"TTC39A","grey","grey"
"EPS15","blue","lightcyan"
"OSBPL9","blue","lightcyan"
"NRDC","green","lightcyan"
"RAB3B","grey","grey"
"TXNDC12","yellow","lightyellow"
"KTI12","black","lightyellow"
"BTF3L4","blue","lightcyan"
"ZFYVE9","blue","lightcyan"
"CC2D1B","turquoise","lightcyan"
"ORC1","yellow","lightyellow"
"PRPF38A","green","lightcyan"
"TUT4","blue","lightcyan"
"GPX7","pink","greenyellow"
"SHISAL2A","red","purple"
"COA7","yellow","lightyellow"
"ZYG11B","blue","lightcyan"
"ECHDC2","grey","grey"
"SCP2","lightcyan","lightcyan"
"PODN","brown","greenyellow"
"SLC1A7","grey","grey"
"CPT2","turquoise","lightcyan"
"CZIB","brown","greenyellow"
"MAGOH","yellow","lightyellow"
"LRP8","yellow","lightyellow"
"GLIS1","pink","greenyellow"
"NDC1","yellow","lightyellow"
"YIPF1","turquoise","lightcyan"
"HSPB11","grey","grey"
"LRRC42","yellow","lightyellow"
"LDLRAD1","grey","grey"
"TMEM59","blue","lightcyan"
"TCEANC2","blue","lightcyan"
"CYB5RL","turquoise","lightcyan"
"MRPL37","yellow","lightyellow"
"SSBP3","grey","grey"
"ACOT11","grey","grey"
"FAM151A","grey","grey"
"TTC4","yellow","lightyellow"
"PARS2","black","lightyellow"
"TTC22","grey","grey"
"DHCR24","brown","greenyellow"
"TMEM61","grey","grey"
"PCSK9","yellow","lightyellow"
"USP24","blue","lightcyan"
"PLPP3","greenyellow","greenyellow"
"PRKAA2","brown","greenyellow"
"OMA1","green","lightcyan"
"TACSTD2","grey","grey"
"MYSM1","tan","tan"
"JUN","brown","greenyellow"
"FGGY","grey","grey"
"HOOK1","yellow","lightyellow"
"CYP2J2","grey","grey"
"NFIA","brown","greenyellow"
"TM2D1","grey","grey"
"PATJ","blue","lightcyan"
"KANK4","grey","grey"
"USP1","yellow","lightyellow"
"DOCK7","blue","lightcyan"
"ATG4C","blue","lightcyan"
"FOXD3","brown","greenyellow"
"ALG6","yellow","lightyellow"
"ITGB3BP","yellow","lightyellow"
"EFCAB7","blue","lightcyan"
"PGM1","grey","grey"
"ROR1","brown","greenyellow"
"CACHD1","turquoise","lightcyan"
"RAVER2","green","lightcyan"
"JAK1","blue","lightcyan"
"AK4","grey","grey"
"DNAJC6","turquoise","lightcyan"
"LEPROT","cyan","greenyellow"
"LEPR","brown","greenyellow"
"PDE4B","red","purple"
"SGIP1","pink","greenyellow"
"WDR78","grey","grey"
"MIER1","lightcyan","lightcyan"
"SLC35D1","green","lightcyan"
"SERBP1","yellow","lightyellow"
"GADD45A","grey","grey"
"GNG12","blue","lightcyan"
"DIRAS3","brown","greenyellow"
"WLS","brown","greenyellow"
"DEPDC1","yellow","lightyellow"
"LRRC40","tan","tan"
"SRSF11","tan","tan"
"ANKRD13C","blue","lightcyan"
"HHLA3","grey","grey"
"CTH","green","lightcyan"
"PTGER3","brown","greenyellow"
"ZRANB2","tan","tan"
"NEGR1","brown","greenyellow"
"FPGT","green","lightcyan"
"CRYZ","grey","grey"
"TYW3","blue","lightcyan"
"SLC44A5","grey","grey"
"ACADM","blue","lightcyan"
"RABGGTB","tan","tan"
"ST6GALNAC3","greenyellow","greenyellow"
"ST6GALNAC5","pink","greenyellow"
"PIGK","blue","lightcyan"
"AC118549.1","blue","lightcyan"
"USP33","blue","lightcyan"
"MIGA1","blue","lightcyan"
"NEXN","brown","greenyellow"
"FUBP1","green","lightcyan"
"DNAJB4","brown","greenyellow"
"GIPC2","grey","grey"
"PTGFR","brown","greenyellow"
"IFI44L","royalblue","royalblue"
"IFI44","royalblue","royalblue"
"ADGRL4","greenyellow","greenyellow"
"ADGRL2","greenyellow","greenyellow"
"TTLL7","brown","greenyellow"
"PRKACB","brown","greenyellow"
"SAMD13","grey","grey"
"DNASE2B","purple","purple"
"RPF1","yellow","lightyellow"
"GNG5","brown","greenyellow"
"CTBS","blue","lightcyan"
"SSX2IP","yellow","lightyellow"
"MCOLN2","red","purple"
"MCOLN3","grey","grey"
"SYDE2","brown","greenyellow"
"BCL10","green","lightcyan"
"DDAH1","green","lightcyan"
"CCN1","pink","greenyellow"
"ZNHIT6","green","lightcyan"
"COL24A1","pink","greenyellow"
"ODF2L","blue","lightcyan"
"SH3GLB1","blue","lightcyan"
"SELENOF","yellow","lightyellow"
"HS2ST1","green","lightcyan"
"LMO4","grey","grey"
"PKN2","blue","lightcyan"
"GTF2B","yellow","lightyellow"
"KYAT3","lightcyan","lightcyan"
"RBMXL1","blue","lightcyan"
"GBP3","royalblue","royalblue"
"GBP1","red","purple"
"GBP2","red","purple"
"GBP4","red","purple"
"GBP5","red","purple"
"GBP6","darkred","darkred"
"LRRC8B","green","lightcyan"
"LRRC8C","red","purple"
"LRRC8D","green","lightcyan"
"ZNF326","tan","tan"
"ZNF644","blue","lightcyan"
"CDC7","yellow","lightyellow"
"TGFBR3","brown","greenyellow"
"EPHX4","grey","grey"
"SETSIP","grey","grey"
"BTBD8","blue","lightcyan"
"GLMN","tan","tan"
"RPAP2","blue","lightcyan"
"GFI1","red","purple"
"EVI5","blue","lightcyan"
"RPL5","midnightblue","midnightblue"
"DIPK1A","brown","greenyellow"
"MTF2","tan","tan"
"TMED5","green","lightcyan"
"CCDC18","tan","tan"
"DR1","blue","lightcyan"
"FNBP1L","green","lightcyan"
"BCAR3","turquoise","lightcyan"
"DNTTIP2","tan","tan"
"GCLM","yellow","lightyellow"
"ARHGAP29","greenyellow","greenyellow"
"ABCD3","green","lightcyan"
"F3","grey","grey"
"SLC44A3","grey","grey"
"CNN3","pink","greenyellow"
"TLCD4","grey","grey"
"RWDD3","tan","tan"
"PTBP2","brown","greenyellow"
"DPYD","purple","purple"
"SNX7","green","lightcyan"
"PLPPR4","brown","greenyellow"
"PALMD","brown","greenyellow"
"FRRS1","green","lightcyan"
"AGL","blue","lightcyan"
"SLC35A3","green","lightcyan"
"MFSD14A","blue","lightcyan"
"SASS6","yellow","lightyellow"
"TRMT13","tan","tan"
"LRRC39","tan","tan"
"DBT","blue","lightcyan"
"RTCA","yellow","lightyellow"
"CDC14A","blue","lightcyan"
"VCAM1","red","purple"
"EXTL2","blue","lightcyan"
"SLC30A7","blue","lightcyan"
"DPH5","magenta","lightyellow"
"S1PR1","greenyellow","greenyellow"
"COL11A1","pink","greenyellow"
"RNPC3","tan","tan"
"AMY2B","tan","tan"
"PRMT6","grey","grey"
"VAV3","grey","grey"
"SLC25A24","green","lightcyan"
"FAM102B","blue","lightcyan"
"HENMT1","grey","grey"
"PRPF38B","tan","tan"
"STXBP3","blue","lightcyan"
"GPSM2","yellow","lightyellow"
"CLCC1","blue","lightcyan"
"WDR47","blue","lightcyan"
"TAF13","grey","grey"
"TMEM167B","lightcyan","lightcyan"
"C1orf194","grey","grey"
"KIAA1324","grey","grey"
"CELSR2","turquoise","lightcyan"
"PSRC1","yellow","lightyellow"
"SORT1","blue","lightcyan"
"PSMA5","yellow","lightyellow"
"SYPL2","brown","greenyellow"
"ATXN7L2","turquoise","lightcyan"
"CYB561D1","turquoise","lightcyan"
"AMIGO1","brown","greenyellow"
"GNAI3","yellow","lightyellow"
"AMPD2","turquoise","lightcyan"
"GSTM4","grey","grey"
"GSTM2","brown","greenyellow"
"GSTM1","grey","grey"
"GSTM5","brown","greenyellow"
"GSTM3","grey","grey"
"EPS8L3","grey","grey"
"CSF1","purple","purple"
"AHCYL1","blue","lightcyan"
"STRIP1","turquoise","lightcyan"
"KCNC4","turquoise","lightcyan"
"RBM15","turquoise","lightcyan"
"SLC16A4","brown","greenyellow"
"LAMTOR5","grey","grey"
"KCNA3","red","purple"
"CD53","purple","purple"
"LRIF1","grey","grey"
"DRAM2","lightcyan","lightcyan"
"CEPT1","blue","lightcyan"
"DENND2D","red","purple"
"CHI3L2","red","purple"
"PIFO","brown","greenyellow"
"OVGP1","grey","grey"
"WDR77","yellow","lightyellow"
"ATP5PB","yellow","lightyellow"
"C1orf162","purple","purple"
"TMIGD3","purple","purple"
"RAP1A","brown","greenyellow"
"INKA2","brown","greenyellow"
"DDX20","green","lightcyan"
"KCND3","brown","greenyellow"
"CTTNBP2NL","blue","lightcyan"
"WNT2B","brown","greenyellow"
"CAPZA1","yellow","lightyellow"
"MOV10","royalblue","royalblue"
"RHOC","grey","grey"
"PPM1J","grey","grey"
"SLC16A1","green","lightcyan"
"LRIG2","blue","lightcyan"
"MAGI3","blue","lightcyan"
"PHTF1","blue","lightcyan"
"RSBN1","blue","lightcyan"
"PTPN22","red","purple"
"BCL2L15","grey","grey"
"AP4B1","blue","lightcyan"
"DCLRE1B","yellow","lightyellow"
"HIPK1","blue","lightcyan"
"OLFML3","brown","greenyellow"
"TRIM33","blue","lightcyan"
"BCAS2","yellow","lightyellow"
"DENND2C","darkred","darkred"
"AMPD1","red","purple"
"NRAS","yellow","lightyellow"
"CSDE1","blue","lightcyan"
"SIKE1","blue","lightcyan"
"TSPAN2","brown","greenyellow"
"NGF","brown","greenyellow"
"VANGL1","turquoise","lightcyan"
"CASQ2","brown","greenyellow"
"SLC22A15","grey","grey"
"ATP1A1","turquoise","lightcyan"
"CD58","grey","grey"
"IGSF3","turquoise","lightcyan"
"CD2","red","purple"
"PTGFRN","cyan","greenyellow"
"CD101","red","purple"
"TTF2","yellow","lightyellow"
"TRIM45","turquoise","lightcyan"
"VTCN1","grey","grey"
"MAN1A2","blue","lightcyan"
"TENT5C","red","purple"
"GDAP2","blue","lightcyan"
"WDR3","yellow","lightyellow"
"TBX15","grey","grey"
"WARS2","green","lightcyan"
"ZNF697","turquoise","lightcyan"
"PHGDH","grey","grey"
"HMGCS2","grey","grey"
"REG4","grey","grey"
"NOTCH2","cyan","greenyellow"
"SEC22B","turquoise","lightcyan"
"AC253572.1","grey","grey"
"NBPF26","blue","lightcyan"
"FCGR1B","purple","purple"
"FAM72B","yellow","lightyellow"
"SRGAP2C","blue","lightcyan"
"FAM72C","yellow","lightyellow"
"NBPF15","blue","lightcyan"
